"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2000",28248.615639,
"AUS","GDP","TOT","USD_CAP","A","2001",29466.367162,
"AUS","GDP","TOT","USD_CAP","A","2002",30728.220694,
"AUS","GDP","TOT","USD_CAP","A","2003",32169.793201,
"AUS","GDP","TOT","USD_CAP","A","2004",33864.600404,
"AUS","GDP","TOT","USD_CAP","A","2005",35545.426558,
"AUS","GDP","TOT","USD_CAP","A","2006",37822.176273,
"AUS","GDP","TOT","USD_CAP","A","2007",39560.693954,
"AUS","GDP","TOT","USD_CAP","A","2008",40036.193305,
"AUS","GDP","TOT","USD_CAP","A","2009",41538.258081,
"AUS","GDP","TOT","USD_CAP","A","2010",42755.68074,
"AUS","GDP","TOT","USD_CAP","A","2011",44340.570281,
"AUS","GDP","TOT","USD_CAP","A","2012",43809.9188,
"AUS","GDP","TOT","USD_CAP","A","2013",47678.929472,
"AUS","GDP","TOT","USD_CAP","A","2014",47551.004198,
"AUS","GDP","TOT","USD_CAP","A","2015",47378.275356,
"AUS","GDP","TOT","USD_CAP","A","2016",48829.027796,
"AUT","GDP","TOT","USD_CAP","A","2000",29375.396801,
"AUT","GDP","TOT","USD_CAP","A","2001",29739.951109,
"AUT","GDP","TOT","USD_CAP","A","2002",31178.051444,
"AUT","GDP","TOT","USD_CAP","A","2003",32119.016757,
"AUT","GDP","TOT","USD_CAP","A","2004",33765.565737,
"AUT","GDP","TOT","USD_CAP","A","2005",35024.557484,
"AUT","GDP","TOT","USD_CAP","A","2006",37631.127824,
"AUT","GDP","TOT","USD_CAP","A","2007",39387.139009,
"AUT","GDP","TOT","USD_CAP","A","2008",41316.022642,
"AUT","GDP","TOT","USD_CAP","A","2009",40928.181598,
"AUT","GDP","TOT","USD_CAP","A","2010",42058.754579,
"AUT","GDP","TOT","USD_CAP","A","2011",44469.209642,
"AUT","GDP","TOT","USD_CAP","A","2012",46477.655075,
"AUT","GDP","TOT","USD_CAP","A","2013",47936.677963,
"AUT","GDP","TOT","USD_CAP","A","2014",48813.534409,
"AUT","GDP","TOT","USD_CAP","A","2015",49925.227796,
"AUT","GDP","TOT","USD_CAP","A","2016",50923.693301,
"BEL","GDP","TOT","USD_CAP","A","2000",27984.686172,
"BEL","GDP","TOT","USD_CAP","A","2001",28981.381462,
"BEL","GDP","TOT","USD_CAP","A","2002",30482.159886,
"BEL","GDP","TOT","USD_CAP","A","2003",31054.694844,
"BEL","GDP","TOT","USD_CAP","A","2004",32249.938092,
"BEL","GDP","TOT","USD_CAP","A","2005",33331.115656,
"BEL","GDP","TOT","USD_CAP","A","2006",35390.703792,
"BEL","GDP","TOT","USD_CAP","A","2007",36865.209673,
"BEL","GDP","TOT","USD_CAP","A","2008",38133.402295,
"BEL","GDP","TOT","USD_CAP","A","2009",38003.726688,
"BEL","GDP","TOT","USD_CAP","A","2010",40089.477213,
"BEL","GDP","TOT","USD_CAP","A","2011",41450.360532,
"BEL","GDP","TOT","USD_CAP","A","2012",42585.15311,
"BEL","GDP","TOT","USD_CAP","A","2013",43745.951564,
"BEL","GDP","TOT","USD_CAP","A","2014",44717.305952,
"BEL","GDP","TOT","USD_CAP","A","2015",45561.175737,
"BEL","GDP","TOT","USD_CAP","A","2016",46566.544596,
"CAN","GDP","TOT","USD_CAP","A","2000",29265.221478,
"CAN","GDP","TOT","USD_CAP","A","2001",30133.352284,
"CAN","GDP","TOT","USD_CAP","A","2002",30854.823032,
"CAN","GDP","TOT","USD_CAP","A","2003",32224.015719,
"CAN","GDP","TOT","USD_CAP","A","2004",33815.119074,
"CAN","GDP","TOT","USD_CAP","A","2005",36212.643556,
"CAN","GDP","TOT","USD_CAP","A","2006",38009.872181,
"CAN","GDP","TOT","USD_CAP","A","2007",39441.964993,
"CAN","GDP","TOT","USD_CAP","A","2008",40277.618235,
"CAN","GDP","TOT","USD_CAP","A","2009",38791.071038,
"CAN","GDP","TOT","USD_CAP","A","2010",40027.204359,
"CAN","GDP","TOT","USD_CAP","A","2011",41565.258933,
"CAN","GDP","TOT","USD_CAP","A","2012",42145.104092,
"CAN","GDP","TOT","USD_CAP","A","2013",44101.430586,
"CAN","GDP","TOT","USD_CAP","A","2014",45519.871933,
"CAN","GDP","TOT","USD_CAP","A","2015",44647.371352,
"CAN","GDP","TOT","USD_CAP","A","2016",44819.498023,
"CZE","GDP","TOT","USD_CAP","A","2000",16160.743411,
"CZE","GDP","TOT","USD_CAP","A","2001",17556.067889,
"CZE","GDP","TOT","USD_CAP","A","2002",18182.35455,
"CZE","GDP","TOT","USD_CAP","A","2003",19410.183423,
"CZE","GDP","TOT","USD_CAP","A","2004",20786.587373,
"CZE","GDP","TOT","USD_CAP","A","2005",21907.305595,
"CZE","GDP","TOT","USD_CAP","A","2006",23715.319299,
"CZE","GDP","TOT","USD_CAP","A","2007",26059.997821,
"CZE","GDP","TOT","USD_CAP","A","2008",27724.418767,
"CZE","GDP","TOT","USD_CAP","A","2009",27469.266871,
"CZE","GDP","TOT","USD_CAP","A","2010",27581.602604,
"CZE","GDP","TOT","USD_CAP","A","2011",28795.816027,
"CZE","GDP","TOT","USD_CAP","A","2012",29051.390424,
"CZE","GDP","TOT","USD_CAP","A","2013",30496.020039,
"CZE","GDP","TOT","USD_CAP","A","2014",32265.045158,
"CZE","GDP","TOT","USD_CAP","A","2015",33478.622515,
"CZE","GDP","TOT","USD_CAP","A","2016",34714.434668,
"DNK","GDP","TOT","USD_CAP","A","2000",28666.216517,
